pid,smiles,tens_mod_clean
P372506,*OC1=CC=C(C(C(F)(F)(F))(C(F)(F)(F))C2=CC=C(OC3=CC=C(NC(=O)C4=CC(C(C(F)(F)(F))(C(F)(F)(F))C5=CC(C(=O)NC6=CC=C(*)C=C6)=C(C(=O)O)C=C5)=CC=C4(C(=O)O))C=C3)C=C2)C=C1,2.3
P373646,*c7ccc(C(=O)Nc6ccc(NC(=O)c5ccc(Oc3ccc(c1nn(*)c(=O)c2ccccc12)c4ccccc34)cc5)cc6)cc7,2.27
P074403,*Oc1ccc(Oc2ccc(C(=O)Nc3ccc(Oc4ccc(NC(=O)c5ccc(*)cc5)cc4)cc3)cc2)cc1c6ccccc6,2.25
P432108,*C(=O)Nc%11ccc(Cc%12ccc(NC(=O)c8ccc7c(=O)n(c6ccc(c4sc(c3ccc(n2c(=O)c1ccc(*)cc1c2=O)cc3)c(c%17ccccc%17)c4c5ccccc5)cc6)c(=O)c7c8)cc%12)cc%11,2.24
P373278,*Oc1cc(C(C)(C)C)c(Oc2ccc(C(=O)Nc3ccc(C(C(F)(F)F)(C(F)(F)F)c4ccc(NC(=O)c5ccc(*)cc5)cc4)cc3)cc2)cc1C(C)(C)C,2.23
P130357,*c%13ccc(Oc%11cccc%12c(Oc%10ccc(n9c(=O)c8ccc(C(=O)Nc7ccc(c5sc(c3ccc(NC(=O)c2ccc1c(=O)n(*)c(=O)c1c2)cc3)c(c4ccccc4)c5c6ccccc6)cc7)cc8c9=O)cc%10)cccc%11%12)cc%13,2.21
P372237,*OCCCCCCCCCOc1ccc(C(=O)Nc2ccc(c3ccc(NC(=O)c4ccc(*)cc4)c(Cl)c3)cc2Cl)cc1,2.21
P430420,*C(=O)Nc9ccc(Oc8ccc(Oc7ccc(NC(=O)c6ccc5c(=O)n(c4ccc(S(=O)(=O)c3ccc(n2c(=O)c1ccc(*)cc1c2=O)cc3)cc4)c(=O)c5c6)cc7)cc8)cc9,2.21
P432809,*n4c(=O)c3ccc(C(C(F)(F)F)(C(F)(F)F)c2ccc1c(=O)n(c9cc(C(=O)Nc5ccc(Oc6ccc(C(C(F)(F)F)(C(F)(F)F)c%11ccc(Oc8ccc(NC(=O)c%10cc(*)ccc%10)cc8)cc%11)cc6)cc5)ccc9)c(=O)c1c2)cc3c4=O,2.2
P432595,*C(=O)Nc%14ccc(Oc%13ccc(Oc%12ccc(NC(=O)c%11ccc%10c(=O)n(c9ccc(Oc8ccc(C5(c4ccc(Oc3ccc(n2c(=O)c1ccc(*)cc1c2=O)cc3)cc4)CC6CC5C7CCCC67)cc8)cc9)c(=O)c%10c%11)cc%12)cc%13C(C)(C)C)cc%14,2.2
