pid,smiles,dens_clean
P373275,*Oc1cc(C(C)(C)C)c(Oc2ccc(C(=O)Nc3ccc(C(C)(C)c4cc(C)c(NC(=O)c5ccc(*)cc5)cc4)cc3C)cc2)cc1C(C)(C)C,1.098
P373276,*Oc1cc(C(C)(C)C)c(Oc2ccc(C(=O)Nc3c(C)cc(C(C)(C)c4cc(C)c(NC(=O)c5ccc(*)cc5)c(C)c4)cc3C)cc2)cc1C(C)(C)C,1.073
P373277,*Oc1cc(C(C)(C)C)c(Oc2ccc(C(=O)Nc3c(C)cc(C(C)(C)c4cc(CC)c(NC(=O)c5ccc(*)cc5)c(C)c4)cc3CC)cc2)cc1C(C)(C)C,1.063
P373278,*Oc1cc(C(C)(C)C)c(Oc2ccc(C(=O)Nc3ccc(C(C(F)(F)F)(C(F)(F)F)c4ccc(NC(=O)c5ccc(*)cc5)cc4)cc3)cc2)cc1C(C)(C)C,1.2
P373463,*Oc2cc1ccccc1cc2C(=O)Nc9ccc(C(=O)Nc8ccc(NC(=O)c4cc3ccccc3cc4Oc7nc(*)nc(Nc6ccc5ccccc5c6)n7)cc8)cc9,1.19
P373464,*Oc2cc1ccccc1cc2C(=O)Nc9ccc(S(=O)(=O)c8ccc(NC(=O)c4cc3ccccc3cc4Oc7nc(*)nc(Nc6ccc5ccccc5c6)n7)cc8)cc9,1.22
P373465,*Oc2cc1ccccc1cc2C(=O)Nc9ccc(NS(=O)(=O)c8ccc(NC(=O)c4cc3ccccc3cc4Oc7nc(*)nc(Nc6ccc5ccccc5c6)n7)cc8)cc9,1.21
P373466,*Oc2cc1ccccc1cc2C(=O)Nc9ccc(c8ccc(NC(=O)c4cc3ccccc3cc4Oc7nc(*)nc(Nc6ccc5ccccc5c6)n7)cc8)cc9,1.19
P373467,*Oc2cc1ccccc1cc2C(=O)Nc8ccc(NC(=O)c4cc3ccccc3cc4Oc7nc(*)nc(Nc6ccc5ccccc5c6)n7)cc8C,1.15
P373468,*Oc2cc1ccccc1cc2C(=O)Nc9ccc(Cc8ccc(NC(=O)c4cc3ccccc3cc4Oc7nc(*)nc(Nc6ccc5ccccc5c6)n7)cc8)cc9,1.16
